id ;names;stateholiday
1;Arnold;0
2;Levoslav;0
3;Stela;0
4;František;0
5;Viera;0
6;Natália;0
7;Eliška;0
8;Brigita;0
9;Dionýz;0
10;Slavomíra;0
11;Valentína;0
12;Maximilián;0
13;Koloman;0
14;Boris;0
15;Terézia;0
16;Vladimíra;0
17;Hedviga;0
18;Lukáš;0
19;Kristián;0
20;Vendelín;0
21;Uršuľa;0
22;Sergej;0
23;Alojza;0
24;Kvetoslava;0
25;Aurel;0
26;Demeter;0
27;Sabína;0
28;Dobromila;0
29;Klára;0
30;Simona;0
31;Aurélia;0
