id,names,stateholiday
1,Diana,0
2,Berta,0
3,Miloslav,0
4,Prokop,0
5,Cyril,1
6,Patrik,0
7,Oliver,0
8,Ivan,0
9,Lujza,0
10,Amália,0
11,Milota,0
12,Nina,0
13,Margita,0
14,Kamil,0
15,Henrich,0
16,Drahomír,0
17,Bohuslav,0
18,Kamila,0
19,Dušana,0
20,Iľja,0
21,Daniel,0
22,Magdaléna,0
23,Oľga,0
24,Vladimír,0
25,Jakub,0
26,Anna Hana,0
27,Božena,0
28,Krištof,0
29,Marta,0
30,Libuša,0
31,Ignác,0
