id,names,stateholiday
1,Božidara,0
2,Gustáv,0
3,Jerguš,0
4,Dominik,0
5,Hortenzia,0
6,Jozefína,0
7,Štefánia,0
8,Oskar,0
9,¼ubomíra,0
10,Vavrinec,0
11,Zuzana,0
12,Darina,0
13,¼ubomír,0
14,Mojmír,0
15,Marcela,0
16,Leonard,0
17,Milica,0
18,Elena Helena,0
19,Lýdia,0
20,Anabela,0
21,Jana,0
22,Tichomír,0
23,Filip,0
24,Bartolomej,0
25,¼udovít,0
26,Samuel,0
27,Silvia,0
28,Augustín,0
29,Nikola,1
30,Ružena,0
31,Nora,0
