id,names,stateholiday
1,Žaneta,0
2,Xénia,0
3,Karolína,0
4,Lenka,0
5,Laura,0
6,Norbert,0
7,Róbert,0
8,Medard,0
9,Stanislava,0
10,Margaréta,0
11,Dobroslava,0
12,Zlatko,0
13,Anton,0
14,Vasil,0
15,Vít,0
16,Blanka,0
17,Adolf,0
18,Vratislav,0
19,Alfréd,0
20,Valéria,0
21,Alojz,0
22,Paulína,0
23,Sidónia,0
24,Ján,0
25,Tadeáš,0
26,Adriána,0
27,Ladislav,0
28,Beáta,0
29,Peter,0
30,Melánia,0
